image_name,ground_truth,gt_text,cluster_id,cluster_static_prob,mlp_instance_prob,mlp_decision,cluster_decision,ssl_feature_l2_norm,LAB_L_bin0,LAB_L_bin1,LAB_L_bin2,LAB_a_bin0,LAB_a_bin1,LAB_a_bin2,LAB_b_bin0,LAB_b_bin1,LAB_b_bin2,Sat_bin0,Sat_bin1,Sat_bin2,Sat_bin3,Sat_bin4,Sat_bin5,Sat_bin6,Sat_bin7,Sat_bin8,Sat_bin9,Sat_bin10,Sat_bin11,Sat_bin12,Sat_bin13,Sat_bin14,Sat_bin15,Haralick_0,Haralick_1,Haralick_2,Haralick_3,Haralick_4,Haralick_5,Haralick_6,Haralick_7,Haralick_8,Haralick_9,Haralick_10,Haralick_11,Haralick_12,LBP_bin0,LBP_bin1,LBP_bin2,LBP_bin3,LBP_bin4,LBP_bin5,LBP_bin6,LBP_bin7,LBP_bin8,LBP_bin9,LBP_bin10,LBP_bin11,LBP_bin12,LBP_bin13,LBP_bin14,LBP_bin15,LBP_bin16,LBP_bin17,LBP_bin18,Texture_Complexity,Relative_Area,Compactness
0081835cf877e004e8bfb905b78a9139.jpeg,1,Neoplastic (High-Risk),7,0.7442,0.9046,HIGH RISK    (Resect & Discard),LOW RISK     (Surveillance),3.2183,0.394638,0.559738,0.045624,0.0,1.0,0.0,0.0,0.999756,0.000244,0.310699,0.002396,0.003159,0.003448,0.006012,0.010574,0.092087,0.297348,0.201065,0.051254,0.012619,0.00386,0.000427,0.000244,3.1e-05,0.004776,0.693382,1.023514,0.616728,0.96935,0.279167,0.363245,0.257843,0.348912,0.891874,0.866093,0.89936,0.871017,0.357136,0.047638,0.023346,0.020142,0.017761,0.015305,0.016251,0.01796,0.023331,0.031784,0.044113,0.0439,0.018341,0.015259,0.012848,0.013733,0.014145,0.021545,0.022675,0.338959,0.054916,0.995941,0.785398
00d827b8bcf15050fb9af0ef92846b60.jpeg,1,Neoplastic (High-Risk),7,0.7442,0.6145,LOW RISK     (Surveillance),LOW RISK     (Surveillance),3.2582,0.570999,0.347534,0.081467,0.0,1.0,0.0,0.0,0.988205,0.011795,0.314941,0.013107,0.017197,0.017075,0.020889,0.025574,0.033524,0.072861,0.147049,0.15007,0.094513,0.05397,0.023773,0.009232,0.002182,0.004044,1.379059,2.208858,1.311397,1.655409,0.439017,0.5996,0.459069,0.516155,0.842915,0.798731,0.829714,0.818194,0.329342,0.055847,0.029297,0.021149,0.014648,0.010071,0.010803,0.01088,0.014404,0.023712,0.034927,0.033585,0.014313,0.012024,0.012833,0.013336,0.013016,0.022583,0.034332,0.330383,0.120346,0.99353,0.785398
00f9b6c911c4aa179344271fa54aa1b2.jpeg,1,Neoplastic (High-Risk),4,0.7738,0.9098,HIGH RISK    (Resect & Discard),LOW RISK     (Surveillance),3.2366,0.423233,0.484711,0.092056,0.0,0.999969,3.1e-05,0.0,0.999985,1.5e-05,0.345871,0.003616,0.003372,0.003845,0.007935,0.035767,0.154266,0.258682,0.127823,0.038956,0.009033,0.00296,0.001221,0.000732,0.000473,0.005447,0.973683,1.378608,0.887286,1.277109,0.370925,0.456563,0.335478,0.423991,0.859025,0.836247,0.874322,0.849391,0.368607,0.05545,0.028137,0.023407,0.016388,0.012512,0.011902,0.011429,0.014755,0.018311,0.024399,0.01799,0.012817,0.011078,0.010223,0.01181,0.014221,0.021133,0.028259,0.378937,0.073608,0.993439,0.785398
00fd197cd955fa095f978455cef3593c.jpeg,0,Non-neoplastic (Low-Risk),7,0.7442,0.2203,LOW RISK     (Surveillance),LOW RISK     (Surveillance),3.2675,0.535736,0.292862,0.171402,0.0,1.0,0.0,0.0,1.0,0.0,0.329788,0.004379,0.006531,0.058685,0.046875,0.084061,0.156235,0.236023,0.069229,0.004257,0.000565,0.00029,0.000137,0.000137,1.5e-05,0.002792,0.386397,0.624467,0.424602,0.627759,0.178891,0.23674,0.184406,0.241907,0.926244,0.908119,0.925248,0.906582,0.356014,0.045074,0.023514,0.018631,0.014572,0.01355,0.014572,0.017578,0.023041,0.031433,0.043488,0.031952,0.020203,0.017075,0.017212,0.014908,0.015213,0.022415,0.025482,0.335526,0.034729,0.998657,0.785398
01c13a3d810b000db55759486b8aa1b8.jpeg,0,Non-neoplastic (Low-Risk),7,0.7442,0.8057,UNCERTAIN    (Require Biopsy),LOW RISK     (Surveillance),3.2469,0.406891,0.426926,0.166183,0.0,1.0,0.0,0.0,1.0,0.0,0.311096,0.003021,0.009872,0.015182,0.033142,0.069901,0.184418,0.267548,0.066315,0.024353,0.008453,0.001724,0.00032,0.000275,1.5e-05,0.004364,0.63295,1.094179,0.861857,1.152587,0.255316,0.352557,0.307598,0.370488,0.898689,0.869961,0.882462,0.863011,0.339784,0.049347,0.025681,0.020996,0.014725,0.013733,0.015289,0.01593,0.022125,0.029343,0.035263,0.039429,0.018173,0.014832,0.012497,0.01445,0.015015,0.021744,0.023972,0.339981,0.059128,0.997345,0.785398
01e80947f9c02314fc58bdb26679bff5.jpeg,1,Neoplastic (High-Risk),7,0.7442,0.8704,UNCERTAIN    (Require Biopsy),LOW RISK     (Surveillance),3.2347,0.432022,0.44519,0.122787,0.0,0.982925,0.017075,0.0,0.997574,0.002426,0.309433,0.004364,0.011978,0.010284,0.013428,0.022415,0.112305,0.238373,0.176086,0.065979,0.023056,0.005554,0.001205,0.000427,0.000183,0.004929,0.609559,0.874833,0.630453,0.986482,0.260447,0.339008,0.280116,0.360477,0.896535,0.869588,0.887618,0.865397,0.346957,0.04982,0.022797,0.021317,0.018784,0.016556,0.017502,0.018524,0.024139,0.028046,0.033752,0.037033,0.019135,0.01535,0.01442,0.015976,0.016571,0.0215,0.02327,0.340225,0.053314,0.995575,0.785398
01ff069910ea2abe3c84417fda801941.jpeg,1,Neoplastic (High-Risk),7,0.7442,0.8593,UNCERTAIN    (Require Biopsy),LOW RISK     (Surveillance),3.2087,0.373398,0.589615,0.036987,0.0,0.984985,0.015015,0.0,0.999695,0.000305,0.308777,0.001663,0.002991,0.002289,0.003708,0.006226,0.040298,0.151077,0.233902,0.171707,0.05304,0.014511,0.003036,0.001022,0.000168,0.005585,0.645711,0.982084,0.674295,0.98193,0.318995,0.415194,0.322763,0.417255,0.865559,0.834265,0.865921,0.832197,0.360751,0.056488,0.023026,0.023865,0.019394,0.016846,0.015671,0.015366,0.018814,0.025803,0.03067,0.035187,0.016037,0.013336,0.011459,0.013748,0.016724,0.022003,0.026443,0.347961,0.087692,0.998047,0.785398
02000f9b6c911c4aa179344271fa54aa.jpeg,1,Neoplastic (High-Risk),4,0.7738,0.9129,HIGH RISK    (Resect & Discard),LOW RISK     (Surveillance),3.2633,0.413254,0.503662,0.083084,0.0,1.0,0.0,0.0,1.0,0.0,0.355728,0.007309,0.006332,0.007477,0.031509,0.07251,0.216385,0.18219,0.079208,0.024811,0.007996,0.00293,0.000977,0.00029,7.6e-05,0.004272,1.445987,1.798816,1.130116,1.940792,0.474602,0.547512,0.404933,0.572364,0.832395,0.813558,0.852342,0.808113,0.366257,0.054657,0.023727,0.021576,0.017426,0.014969,0.014816,0.016449,0.019577,0.025757,0.03302,0.022949,0.014252,0.011719,0.010742,0.01091,0.012955,0.020096,0.027618,0.374161,0.11055,0.982727,0.785398
021bab9fc7330398846f67b5df7cdf3f.jpeg,1,Neoplastic (High-Risk),7,0.7442,0.9853,HIGH RISK    (Resect & Discard),LOW RISK     (Surveillance),3.228,0.364502,0.416412,0.219086,0.0,0.998642,0.001358,0.0,1.0,0.0,0.343658,0.002716,0.002808,0.006653,0.029175,0.070541,0.232285,0.179947,0.073013,0.038589,0.013885,0.001709,0.000305,0.000183,0.0,0.004532,0.620006,0.930965,0.726317,1.12692,0.290839,0.362999,0.295221,0.392034,0.880201,0.859726,0.883117,0.853868,0.365323,0.050949,0.023575,0.020844,0.017822,0.015457,0.016205,0.017471,0.021423,0.026276,0.031509,0.024902,0.016891,0.015274,0.014023,0.013474,0.016937,0.022293,0.02388,0.372742,0.079559,0.994263,0.785398
02345d341253851bc866ebe4d18d5401.jpeg,1,Neoplastic (High-Risk),7,0.7442,0.9091,HIGH RISK    (Resect & Discard),LOW RISK     (Surveillance),3.2365,0.354218,0.518539,0.127243,0.0,1.0,0.0,0.0,1.0,0.0,0.314468,0.012268,0.016464,0.023285,0.047119,0.139786,0.293442,0.127396,0.015839,0.002182,0.001419,0.00061,0.000305,0.000259,4.6e-05,0.005112,0.634896,0.934594,0.588051,0.932195,0.27402,0.355679,0.266636,0.359431,0.890189,0.863768,0.89179,0.862075,0.362304,0.045105,0.022232,0.020081,0.016205,0.016312,0.017914,0.019669,0.025909,0.038162,0.044418,0.044128,0.019394,0.015579,0.013885,0.014313,0.014496,0.019104,0.02095,0.33873,0.053711,0.983887,0.785398
